Tue Oct 12 14:32:20 2010 (PID:23462) : |  ERROR | -> MSG: get_shared_memory_slave(): error allocating shared memory space (shmget): File exists
Thu Oct 21 13:49:16 2010 (PID:63183) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Thu Oct 21 13:49:16 2010 (PID:63183) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Thu Oct 21 13:49:16 2010 (PID:63183) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Thu Oct 21 13:49:16 2010 (PID:63183) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Thu Oct 21 13:49:47 2010 (PID:63183) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Thu Oct 21 13:49:47 2010 (PID:63183) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Thu Oct 21 13:49:47 2010 (PID:63183) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Thu Oct 21 13:49:47 2010 (PID:63183) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Thu Oct 21 13:51:00 2010 (PID:63183) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Thu Oct 21 13:51:00 2010 (PID:63183) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Thu Oct 21 13:51:00 2010 (PID:63183) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Thu Oct 21 13:51:00 2010 (PID:63183) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Thu Oct 21 13:51:56 2010 (PID:63183) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
Thu Oct 21 13:51:56 2010 (PID:63183) : | Warning | -> MSG: computer_pool_free() error found while deleting shared memory poolshmid. (Msg: Invalid argument)
